cpu_name,passmark_score,passmark_rank,passmark_value
AMD Opteron 1216,781,3996,14.23
AMD Opteron 1216 HE,727,4064,
AMD Opteron 1218,910,3847,
AMD Opteron 1218 HE,979,3785,
AMD Opteron 1220,1036,3721,
AMD Opteron 1222,1089,3657,
AMD Opteron 1352,1547,3281,11.38
AMD Opteron 1354,1449,3347,6.09
AMD Opteron 1356,1703,3170,18.92
AMD Opteron 1381,1797,3115,
AMD Opteron 1385,1898,3046,42.19
AMD Opteron 1389,2079,2929,
AMD Opteron 144,316,4541,10.55
AMD Opteron 146,346,4493,1.57
AMD Opteron 148,392,4446,
AMD Opteron 150,393,4444,1.11
AMD Opteron 152,428,4390,
AMD Opteron 154,457,4373,
AMD Opteron 165,531,4298,0.61
AMD Opteron 170,648,4162,
AMD Opteron 175,682,4118,
AMD Opteron 180,746,4038,6.22
